title
(2022) Pig detection and statistics system based on YOLOv5 (2022SR1403064, Independent
(2022) Pig detection and behavior recognition system based on YOLOv5 (2022SR1034049, Independent
(2022) Pig face detection and recognition system based on YOLOv5 (2023SR0168271, Independent
(2022) Pig segmentation and pose estimation system based on YOLOv5 (2023SR0168272, Independent
(2022) Tobacco pest management system (2022SR0900066, Fifth place 
(2022) Tobacco disease detection system based on YOLOv5 (2022SR0900067, Fifth place
(2022) Automatic recognition system of apple leaf diseases based on deep learning (2022SR0900117,Fourth place

